Date,Name,Price,Link
2025-06-17,"HP 15, 13th Gen Intel Core i5-1334U Laptop (16GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6''/39.6cm, FHD, Win11,M365,Office24, Silver,1.59kg, Iris Xe Graphics,FHD Camera w/Privacy Shutter, fd0577TU","₹56,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NjA2NDA2NTc2NzI1Njk0OjE3NTAxNDQ1NjY6c3BfYXRmOjMwMDU1OTY2MTEwNTgzMjo6MDo6&url=%2FHP-i5-1334U-Anti-Glare-Micro-Edge-fd0577TU%2Fdp%2FB0F4R6H3NB%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.LQi7S5pTdIZcyQaJ0ebRHGTgq3oPQTtigbMBQs1HSiq8gJhQcdWnPj_OEUt-kYh3aEWMV9KjTyPtXAm0YJ-bwj3JiQeDjZRohbcl8zhj4ms-6pAz5odW6xNE9t74HT26lrKe-MuiSpHmLy2C2hXVe8KmnskG0XQNKIj5VENCBINX3LzwNtM1eRztaWZjJunVmNf_BtOoYQXJYb8OfAeSqBwwrQRllGK7GA5JgBeTIDo.jcu-yJM_8Cl1J9mQRTmuy9qsEBQjPPPwjodpYqrLKQg%26dib_tag%3Dse%26keywords%3DLaptops%26qid%3D1750144566%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2025-06-17,"HP 15, 13th Gen Intel Core i5-1334U Laptop (16GB DDR4,1TB SSD) Anti-Glare, Micro-Edge,15.6''/39.6cm, FHD, Win11, M365 Basic(1yr),Office Home24, Silver,1.59kg, Iris Xe, FHD Camera w/Shutter, FD0552TU","₹60,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2NjA2NDA2NTc2NzI1Njk0OjE3NTAxNDQ1NjY6c3BfYXRmOjMwMDU4OTE0MjQzNjIzMjo6MDo6&url=%2FHP-i5-1334U-Anti-Glare-Micro-Edge-FD0552TU%2Fdp%2FB0F671GG5M%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.LQi7S5pTdIZcyQaJ0ebRHGTgq3oPQTtigbMBQs1HSiq8gJhQcdWnPj_OEUt-kYh3aEWMV9KjTyPtXAm0YJ-bwj3JiQeDjZRohbcl8zhj4ms-6pAz5odW6xNE9t74HT26lrKe-MuiSpHmLy2C2hXVe8KmnskG0XQNKIj5VENCBINX3LzwNtM1eRztaWZjJunVmNf_BtOoYQXJYb8OfAeSqBwwrQRllGK7GA5JgBeTIDo.jcu-yJM_8Cl1J9mQRTmuy9qsEBQjPPPwjodpYqrLKQg%26dib_tag%3Dse%26keywords%3DLaptops%26qid%3D1750144566%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2025-06-17,"Lenovo IdeaPad Slim 3, Intel Core i5-12450H, 12th Gen, 16GB RAM, 512GB SSD, FHD, 14""/35.5cm, Windows 11, MS Office Home 2024, Grey, 1.37Kg, 83EQ0072IN, Alexa Built-in, 3 mon. Game Pass Laptop","₹48,990",https://www.amazon.in/Lenovo-IdeaPad-i5-12450H-Windows-83EQ0072IN/dp/B0DP7BZ8FD/ref=sr_1_3?dib=eyJ2IjoiMSJ9.LQi7S5pTdIZcyQaJ0ebRHGTgq3oPQTtigbMBQs1HSiq8gJhQcdWnPj_OEUt-kYh3aEWMV9KjTyPtXAm0YJ-bwj3JiQeDjZRohbcl8zhj4ms-6pAz5odW6xNE9t74HT26lrKe-MuiSpHmLy2C2hXVe8KmnskG0XQNKIj5VENCBINX3LzwNtM1eRztaWZjJunVmNf_BtOoYQXJYb8OfAeSqBwwrQRllGK7GA5JgBeTIDo.jcu-yJM_8Cl1J9mQRTmuy9qsEBQjPPPwjodpYqrLKQg&dib_tag=se&keywords=Laptops&qid=1750144566&sr=8-3
2025-06-17,"Lenovo V15 Intel Celeron N4500 15.6"" (39.62 cm) FHD (1920x1080) Antiglare 250 Nits Thin and Light Laptop (8GB RAM/256GB SSD/Windows 11 Home/Black/1Y Onsite/1.7 kg), 82QYA00MIN","₹20,752",https://www.amazon.in/Lenovo-Celeron-1920x1080-Antiglare-82QYA00MIN/dp/B0C28FKJXG/ref=sr_1_4?dib=eyJ2IjoiMSJ9.LQi7S5pTdIZcyQaJ0ebRHGTgq3oPQTtigbMBQs1HSiq8gJhQcdWnPj_OEUt-kYh3aEWMV9KjTyPtXAm0YJ-bwj3JiQeDjZRohbcl8zhj4ms-6pAz5odW6xNE9t74HT26lrKe-MuiSpHmLy2C2hXVe8KmnskG0XQNKIj5VENCBINX3LzwNtM1eRztaWZjJunVmNf_BtOoYQXJYb8OfAeSqBwwrQRllGK7GA5JgBeTIDo.jcu-yJM_8Cl1J9mQRTmuy9qsEBQjPPPwjodpYqrLKQg&dib_tag=se&keywords=Laptops&qid=1750144566&sr=8-4
2025-06-17,"HP 15s, 12th Gen Intel Core i3-1215U Laptop (8GB DDR4, 512GB SSD) Anti-Glare, 15.6""/39.6cm,FHD, Win 11, MS Office 21, Silver, 1.69kg, Intel UHD Graphics, HD Camera, Dual Speakers, fy5006tu","₹33,990",https://www.amazon.in/HP-i3-1215U-Anti-Glare-15-6inch-Graphics/dp/B0CJBL2QWY/ref=sr_1_5?dib=eyJ2IjoiMSJ9.LQi7S5pTdIZcyQaJ0ebRHGTgq3oPQTtigbMBQs1HSiq8gJhQcdWnPj_OEUt-kYh3aEWMV9KjTyPtXAm0YJ-bwj3JiQeDjZRohbcl8zhj4ms-6pAz5odW6xNE9t74HT26lrKe-MuiSpHmLy2C2hXVe8KmnskG0XQNKIj5VENCBINX3LzwNtM1eRztaWZjJunVmNf_BtOoYQXJYb8OfAeSqBwwrQRllGK7GA5JgBeTIDo.jcu-yJM_8Cl1J9mQRTmuy9qsEBQjPPPwjodpYqrLKQg&dib_tag=se&keywords=Laptops&qid=1750144566&sr=8-5
2025-06-17,"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11 Lifetime Validity,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty","₹24,990",https://www.amazon.in/Lenovo-V15-Lifetime-Validity-Warranty/dp/B0CL7CMTXS/ref=sr_1_6?dib=eyJ2IjoiMSJ9.LQi7S5pTdIZcyQaJ0ebRHGTgq3oPQTtigbMBQs1HSiq8gJhQcdWnPj_OEUt-kYh3aEWMV9KjTyPtXAm0YJ-bwj3JiQeDjZRohbcl8zhj4ms-6pAz5odW6xNE9t74HT26lrKe-MuiSpHmLy2C2hXVe8KmnskG0XQNKIj5VENCBINX3LzwNtM1eRztaWZjJunVmNf_BtOoYQXJYb8OfAeSqBwwrQRllGK7GA5JgBeTIDo.jcu-yJM_8Cl1J9mQRTmuy9qsEBQjPPPwjodpYqrLKQg&dib_tag=se&keywords=Laptops&qid=1750144566&sr=8-6
2025-06-17,"Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Thin & Lite Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD NVMe, Windows 11, Dolby Audio, Arctic Grey, 1 Year Onsite Brand Warranty","₹35,490",https://www.amazon.in/Lenovo-Graphics-5500Mhz-Windows-Warranty/dp/B0F29HNJL1/ref=sr_1_7?dib=eyJ2IjoiMSJ9.LQi7S5pTdIZcyQaJ0ebRHGTgq3oPQTtigbMBQs1HSiq8gJhQcdWnPj_OEUt-kYh3aEWMV9KjTyPtXAm0YJ-bwj3JiQeDjZRohbcl8zhj4ms-6pAz5odW6xNE9t74HT26lrKe-MuiSpHmLy2C2hXVe8KmnskG0XQNKIj5VENCBINX3LzwNtM1eRztaWZjJunVmNf_BtOoYQXJYb8OfAeSqBwwrQRllGK7GA5JgBeTIDo.jcu-yJM_8Cl1J9mQRTmuy9qsEBQjPPPwjodpYqrLKQg&dib_tag=se&keywords=Laptops&qid=1750144566&sr=8-7
2025-06-17,"HP 15, AMD Ryzen 3 7320U Laptop (8GB LPDDR5, 512GB SSD) Anti-Glare, Micro-Edge, 15.6""/39.6cm,FHD, Win 11, Silver, 1.59kg, AMD Radeon Graphics, 1080p HD Camera, fc0154AU","₹29,990",https://www.amazon.in/HP-Laptop-15-6-inch-Graphics-fc0154AU/dp/B0D3HG5CMG/ref=sr_1_8?dib=eyJ2IjoiMSJ9.LQi7S5pTdIZcyQaJ0ebRHGTgq3oPQTtigbMBQs1HSiq8gJhQcdWnPj_OEUt-kYh3aEWMV9KjTyPtXAm0YJ-bwj3JiQeDjZRohbcl8zhj4ms-6pAz5odW6xNE9t74HT26lrKe-MuiSpHmLy2C2hXVe8KmnskG0XQNKIj5VENCBINX3LzwNtM1eRztaWZjJunVmNf_BtOoYQXJYb8OfAeSqBwwrQRllGK7GA5JgBeTIDo.jcu-yJM_8Cl1J9mQRTmuy9qsEBQjPPPwjodpYqrLKQg&dib_tag=se&keywords=Laptops&qid=1750144566&sr=8-8
2025-06-17,"HP Laptop 250R G9 (2024), Intel Core i3 13th Gen 1315U - (8GB/512GB SSD/Intel UHD Graphics) Thin and Light Business Laptop/15.6"" (39.62cm)/Ash Grey/1.57 kg","₹30,132",https://www.amazon.in/HP-Laptop-250R-Intel-1315U/dp/B0DKGBYGKQ/ref=sr_1_9?dib=eyJ2IjoiMSJ9.LQi7S5pTdIZcyQaJ0ebRHGTgq3oPQTtigbMBQs1HSiq8gJhQcdWnPj_OEUt-kYh3aEWMV9KjTyPtXAm0YJ-bwj3JiQeDjZRohbcl8zhj4ms-6pAz5odW6xNE9t74HT26lrKe-MuiSpHmLy2C2hXVe8KmnskG0XQNKIj5VENCBINX3LzwNtM1eRztaWZjJunVmNf_BtOoYQXJYb8OfAeSqBwwrQRllGK7GA5JgBeTIDo.jcu-yJM_8Cl1J9mQRTmuy9qsEBQjPPPwjodpYqrLKQg&dib_tag=se&keywords=Laptops&qid=1750144566&sr=8-9
2025-06-17,"Lenovo Smartchoice Ideapad Slim 3 13Th Gen Intel Core I7-13620H 15.3 Inch(38.8Cm) WUXGA IPS Laptop(16GB RAM/512GB SSD/Windows 11/Office Home 2024/Backlit Keyboard/1Yr ADP Free/Grey/1.6Kg),83K100CJIN","₹62,990",https://www.amazon.in/Lenovo-Smartchoice-I7-13620H-Keyboard-83K100CJIN/dp/B0F2162VGQ/ref=sr_1_10?dib=eyJ2IjoiMSJ9.LQi7S5pTdIZcyQaJ0ebRHGTgq3oPQTtigbMBQs1HSiq8gJhQcdWnPj_OEUt-kYh3aEWMV9KjTyPtXAm0YJ-bwj3JiQeDjZRohbcl8zhj4ms-6pAz5odW6xNE9t74HT26lrKe-MuiSpHmLy2C2hXVe8KmnskG0XQNKIj5VENCBINX3LzwNtM1eRztaWZjJunVmNf_BtOoYQXJYb8OfAeSqBwwrQRllGK7GA5JgBeTIDo.jcu-yJM_8Cl1J9mQRTmuy9qsEBQjPPPwjodpYqrLKQg&dib_tag=se&keywords=Laptops&qid=1750144566&sr=8-10
